WKT,id,nation,cntryname,source,target,clength
WKT,117279,0,Austria,237,239,0.000
WKT,117279,0,Austria,237,239,0.000
WKT,118713,0,Austria,7,1934,0.000
WKT,161471,0,Poland,4188,4279,0.000
WKT,169445,0,Poland,4138,4141,0.000
WKT,182076,0,Germany,5536,5537,0.000
WKT,185610,0,Germany,6013,6014,0.000
WKT,185713,0,Germany,6055,6056,0.000
WKT,205655,0,Germany,7895,7896,0.000
WKT,212021,0,Germany,9739,9765,0.000
WKT,217050,0,Germany,12293,12257,0.000
WKT,218196,0,Germany,12816,12860,0.000
WKT,335703,0,Czech Republic,18103,18148,0.000
WKT,336865,0,Czech Republic,19411,19582,0.000
WKT,337605,0,Czech Republic,20412,20413,0.000
WKT,337926,0,Czech Republic,20789,20790,0.000
WKT,338324,0,Czech Republic,21278,21279,0.000
WKT,339141,0,Czech Republic,22352,22353,0.000
WKT,340085,0,Czech Republic,23449,23450,0.000
WKT,342721,0,Czech Republic,20180,20206,0.000
WKT,344061,0,Slovakia,25386,25387,0.000
WKT,514,0,,1,2,0.000
WKT,515,0,,1,2,0.000
WKT,516,0,,1,2,0.000
WKT,517,0,,2,1,0.000
WKT,518,0,,2,1,0.000
WKT,535,0,,3,4,0.000
WKT,555,0,,5,6,0.000
WKT,556,0,,6,5,0.000
WKT,557,0,,5,6,0.000
WKT,625,0,,7,8,0.000
WKT,627,0,,7,8,0.000
WKT,628,0,,8,7,0.000
WKT,633,0,,9,10,0.000
WKT,634,0,,10,9,0.000
WKT,635,0,,9,10,0.000
WKT,641,0,,11,12,0.000
WKT,643,0,,13,14,0.000
WKT,644,0,,13,14,0.000
WKT,645,0,,13,14,0.000
WKT,646,0,,14,13,0.000
WKT,647,0,,14,13,0.000
WKT,649,0,,15,16,0.000
WKT,651,0,,15,16,0.000
WKT,652,0,,16,15,0.000
WKT,654,0,,17,18,0.000
WKT,662,0,,20,21,0.000
WKT,665,0,,22,23,0.000
WKT,680,0,,25,26,0.000
WKT,681,0,,25,26,0.000
WKT,682,0,,25,26,0.000
WKT,683,0,,26,25,0.000
WKT,684,0,,26,25,0.000
WKT,691,0,,27,28,0.000
WKT,709,0,,29,30,0.000
WKT,710,0,,29,30,0.000
WKT,711,0,,29,30,0.000
WKT,712,0,,30,29,0.000
WKT,713,0,,30,29,0.000
WKT,794,0,,31,32,0.000
WKT,827,0,,36,37,0.000
WKT,828,0,,37,36,0.000
WKT,829,0,,36,37,0.000
WKT,850,0,,39,40,0.000
WKT,874,0,,41,42,0.000
WKT,875,0,,41,42,0.000
WKT,876,0,,41,42,0.000
WKT,877,0,,42,41,0.000
WKT,878,0,,42,41,0.000
WKT,898,0,,44,45,0.000
WKT,907,0,,46,47,0.000
WKT,924,0,,48,49,0.000
WKT,932,0,,50,51,0.000
WKT,934,0,,50,51,0.000
WKT,935,0,,51,50,0.000
WKT,937,0,,52,53,0.000
WKT,939,0,,54,55,0.000
WKT,940,0,,54,55,0.000
WKT,941,0,,54,55,0.000
WKT,942,0,,55,54,0.000
WKT,943,0,,55,54,0.000
WKT,949,0,,57,58,0.000
WKT,950,0,,57,58,0.000
WKT,951,0,,57,58,0.000
WKT,952,0,,58,57,0.000
WKT,953,0,,58,57,0.000
WKT,954,0,,59,60,0.000
WKT,955,0,,59,60,0.000
WKT,956,0,,59,60,0.000
WKT,957,0,,60,59,0.000
WKT,958,0,,60,59,0.000
WKT,960,0,,61,62,0.000
WKT,962,0,,63,64,0.000
WKT,963,0,,63,64,0.000
WKT,964,0,,63,64,0.000
WKT,965,0,,64,63,0.000
WKT,966,0,,64,63,0.000
WKT,973,0,,66,67,0.000
WKT,976,0,,68,69,0.000
WKT,977,0,,69,68,0.000
WKT,978,0,,68,69,0.000
WKT,986,0,,70,71,0.000
WKT,1005,0,,72,73,0.000
WKT,1006,0,,72,73,0.000
WKT,1007,0,,72,73,0.000
WKT,1008,0,,73,72,0.000
WKT,1009,0,,73,72,0.000
WKT,1385,0,,74,75,0.000
WKT,1387,0,,76,77,0.000
